date,D05.SI,J36.SI,O39.SI,Z74.SI,U11.SI,J37.SI,C07.SI,V03.SI,C6L.SI,U14.SI
2010-01-04,10.017633438110352,22.596851348876953,5.844911098480225,1.8855292797088623,13.69218921661377,16.096576690673828,18.65338897705078,4.6923747062683105,11.787917137145996,3.1360394954681396
2010-01-05,10.148582458496094,22.476329803466797,5.890315532684326,1.879504919052124,13.664332389831543,15.932694435119629,18.791032791137695,4.756507396697998,11.662677764892578,3.1512997150421143
2010-01-06,10.148582458496094,22.596851348876953,5.890315532684326,1.8674569129943848,13.859339714050293,15.969111442565918,18.72217559814453,4.858051776885986,11.55309772491455,3.1589295864105225
2010-01-07,10.03072738647461,22.94333267211914,5.831937789916992,1.82528817653656,13.859339714050293,16.078369140625,18.543203353881836,4.906150817871094,11.30262279510498,3.1131479740142822
2010-01-08,10.070013999938965,23.033721923828125,5.780035018920898,1.837336778640747,13.873263359069824,15.987323760986328,18.226581573486328,4.916839599609375,11.333931922912598,3.105517864227295
2010-01-11,10.043824195861816,22.67217254638672,5.708677291870117,1.8192644119262695,13.845404624938965,15.987323760986328,18.240379333496094,4.964939117431641,11.271315574645996,3.1818206310272217
2010-01-12,9.939064979553223,22.732431411743164,5.715167045593262,1.7891442775726318,13.706116676330566,15.914484024047852,18.405561447143555,4.9382171630859375,11.30262279510498,3.1589295864105225
2010-01-13,9.834305763244629,22.777624130249023,5.682730197906494,1.7891442775726318,13.538972854614258,15.932694435119629,18.11646842956543,4.911495208740234,11.271315574645996,3.1207785606384277
2010-01-14,9.899778366088867,22.596851348876953,5.695703506469727,1.8192644119262695,13.608616828918457,16.00553321838379,18.73597526550293,4.916839599609375,11.318278312683105,3.1741905212402344
2010-01-15,9.912875175476074,23.22956657409668,5.708677291870117,1.8132405281066895,13.525042533874512,16.096576690673828,18.322965621948242,4.9702839851379395,11.255659103393555,3.1131479740142822
2010-01-18,9.912875175476074,23.72669219970703,5.695703506469727,1.8192644119262695,13.51111125946045,16.44253921508789,18.391826629638672,4.964939117431641,11.286969184875488,3.0902576446533203
2010-01-19,9.912875175476074,23.9074649810791,5.650291919708252,1.8011919260025024,13.538972854614258,16.369707107543945,18.50194549560547,4.997006416320801,11.427862167358398,3.082627058029175
2010-01-20,9.834305763244629,23.967727661132812,5.604887962341309,1.8072166442871094,13.371822357177734,15.859859466552734,18.584531784057617,4.97562837600708,11.271315574645996,3.143669366836548
2010-01-21,9.860494613647461,23.00359344482422,5.540011405944824,1.8072166442871094,13.232534408569336,16.041950225830078,18.14399528503418,4.9275288581848145,11.193041801452637,3.04447603225708
2010-01-22,9.703353881835938,22.596851348876953,5.481626033782959,1.8132405281066895,13.037524223327637,15.95090389251709,17.827373504638672,4.900805473327637,11.099113464355469,3.0139548778533936
2010-01-25,9.624784469604492,22.461267471313477,5.4427056312561035,1.8554083108901978,12.98180866241455,15.841649055480957,17.620874404907227,4.847362995147705,10.973876953125,2.9758033752441406
2010-01-26,9.310503959655762,22.61191749572754,5.319451808929443,1.8072166442871094,12.57786750793457,15.787023544311523,16.97383689880371,4.70306396484375,10.786020278930664,2.861349582672119
2010-01-27,9.166459083557129,22.52152442932129,5.241602897644043,1.783120036125183,12.480368614196777,15.659564018249512,17.207862854003906,4.569454669952393,10.566856384277344,2.8231983184814453
2010-01-28,9.375980377197266,22.581783294677734,5.416759014129639,1.8011919260025024,12.745017051696777,15.677774429321289,17.510757446289062,4.5641093254089355,10.801675796508789,2.8689796924591064
2010-01-29,9.349790573120117,22.596851348876953,5.312961578369141,1.8132405281066895,12.647514343261719,15.495687484741211,17.414369583129883,4.526699542999268,10.817330360412598,2.853719472885132
2010-02-01,9.271220207214355,22.069589614868164,5.358374118804932,1.8132405281066895,12.703230857849121,15.058676719665527,17.207862854003906,4.451876640319824,10.848639488220215,2.8308286666870117
2010-02-02,9.218843460083008,22.2503662109375,5.312961578369141,1.7891442775726318,12.605730056762695,15.277179718017578,17.276723861694336,4.51600980758667,10.692093849182129,2.8689796924591064
2010-02-03,9.493836402893066,22.31062889099121,5.416759014129639,1.8011919260025024,12.9121675491333,15.295389175415039,17.414369583129883,4.553421974182129,11.365242958068848,2.8918707370758057
2010-02-04,9.297411918640137,23.214494705200195,5.351882457733154,1.7951682806015015,12.81466293334961,15.841649055480957,17.703460693359375,4.612209320068359,11.271315574645996,2.853719472885132
2010-02-05,9.19265365600586,22.596851348876953,5.2480926513671875,1.7469754219055176,12.53608226776123,15.477479934692383,17.386838912963867,4.612209320068359,11.036498069763184,2.8231983184814453
2010-02-08,9.33669662475586,22.596851348876953,5.345399856567383,1.7770960330963135,12.717159271240234,15.295389175415039,16.946304321289062,4.676340579986572,11.208697319030762,2.8689796924591064
2010-02-09,9.428361892700195,22.777624130249023,5.494600296020508,1.82528817653656,13.093242645263672,15.331804275512695,16.849987030029297,4.622897624969482,11.349587440490723,2.99869441986084
2010-02-10,9.284317016601562,22.852949142456055,5.423242092132568,1.837336778640747,12.842522621154785,15.441059112548828,16.64348602294922,4.713752746582031,11.584404945373535,3.0521063804626465
2010-02-11,9.284317016601562,22.747493743896484,5.507575035095215,1.8493844270706177,12.81466293334961,15.350016593933105,16.244279861450195,4.6923747062683105,11.568750381469727,3.006324291229248
2010-02-12,9.284317016601562,22.55165672302246,5.514064788818359,1.8192644119262695,12.828593254089355,15.404643058776855,16.244279861450195,4.756507396697998,11.224352836608887,3.006324291229248
