date,D05.SI,J36.SI,O39.SI,Z74.SI,U11.SI,J37.SI,C07.SI,V03.SI,C6L.SI,U14.SI
2010-01-05,0.012987152533459669,-0.005347829000061046,0.00773818217526257,-0.003200165246859411,-0.002036577369837883,-0.01023336966234436,0.007351932681436681,0.013574870461220526,-0.010681226934595098,0.004854279061155037
2010-01-06,0.0,0.005347829000061106,0.0,-0.006430835497579067,0.014170390243984114,0.0022830697048480267,-0.0036710947040627167,0.021123829854712287,-0.009440206192247756,0.0024182560481337792
2010-01-07,-0.011680916044539224,0.015216803196678027,-0.009960239517143712,-0.02283968621392623,0.0,0.0068185154884344195,-0.009605356249404456,0.009852198289018264,-0.02191879775214604,-0.014598807190584857
2010-01-08,0.0039089765630407666,0.00393193382897523,-0.008939586322862302,0.006579240688484735,0.0010041355405940122,-0.005678693710680918,-0.01722227132914676,0.0021762794225954484,0.0027662467334569098,-0.002453939097030346
2010-01-11,-0.0026041592482776393,-0.01582101928245285,-0.012422392127783784,-0.009884870089795326,-0.0020101069450572263,0.0,0.0007567266547592224,0.009735068770752633,-0.005539997597708485,0.024273072993474008
2010-01-12,-0.010484987942669418,0.002654307954794387,0.0011361769697783525,-0.01669480179412423,-0.010111175623929776,-0.0045665038173539904,0.009015090285502217,-0.005396667172154388,0.0027737508642516418,-0.0072203267058588635
2010-01-13,-0.010596088834945358,0.001986054854143583,-0.005691740250359664,0.0,-0.012269801385841628,0.0011436123347523595,-0.015831488919042517,-0.005425949285997121,-0.0027737508642515997,-0.012150722378341207
2010-01-14,0.006635508660520705,-0.007968080552138383,0.0022803339232754893,0.01669480179412432,0.005130777936220392,0.004561236793591748,0.033624104106650864,0.001087547687398919,0.004157915005465357,0.01697013654033101
2010-01-15,0.0013220653424683977,0.027615312857967877,0.002275229357305798,-0.003316658581904343,-0.006160212908820757,0.005672132868752485,-0.02229026162328412,0.010811012041828579,-0.005547935103334993,-0.01941822135257465
2010-01-18,0.0,0.021174778961989833,-0.002275229357305885,0.003316658581904292,-0.001030566385555363,0.021265209700382905,0.0037511359434601625,-0.0010759432710760442,0.0027778572414190548,-0.007379956965287144
2010-01-19,0.0,0.007590084927332269,-0.008004908789030709,-0.009983623249564803,0.0020600013581556086,-0.004439331976260097,0.005969527464001132,0.006437981323994474,0.012405532509883858,-0.002472293223779151
