date,volume,high,open,low,close,adjclose
2010-10-08,3871420000,1167.72998046875,1158.3599853515625,1155.5799560546875,1165.1500244140625,1165.1500244140625
2010-10-11,2505900000,1168.6800537109375,1165.3199462890625,1162.02001953125,1165.3199462890625,1165.3199462890625
2010-10-12,4076170000,1172.5799560546875,1164.280029296875,1155.7099609375,1169.77001953125,1169.77001953125
2010-10-13,4969410000,1184.3800048828125,1171.3199462890625,1171.3199462890625,1178.0999755859375,1178.0999755859375
2010-10-14,4969410000,1178.8900146484375,1177.8199462890625,1166.7099609375,1173.81005859375,1173.81005859375
2010-10-15,5724910000,1181.199951171875,1177.469970703125,1167.1199951171875,1176.18994140625,1176.18994140625
2010-10-18,4450050000,1185.530029296875,1176.8299560546875,1174.550048828125,1184.7099609375,1184.7099609375
2010-10-19,5600120000,1178.6400146484375,1178.6400146484375,1159.7099609375,1165.9000244140625,1165.9000244140625
2010-10-20,5027880000,1182.93994140625,1166.739990234375,1166.739990234375,1178.1700439453125,1178.1700439453125
2010-10-21,4625470000,1189.4300537109375,1179.8199462890625,1171.1700439453125,1180.260009765625,1180.260009765625
2010-10-22,3177890000,1183.9300537109375,1180.52001953125,1178.989990234375,1183.0799560546875,1183.0799560546875
2010-10-25,4221380000,1196.1400146484375,1184.739990234375,1184.739990234375,1185.6199951171875,1185.6199951171875
2010-10-26,4203680000,1187.1099853515625,1184.8800048828125,1177.719970703125,1185.6400146484375,1185.6400146484375
2010-10-27,4335670000,1183.8399658203125,1183.8399658203125,1171.699951171875,1182.449951171875,1182.449951171875
2010-10-28,4283460000,1189.530029296875,1184.469970703125,1177.0999755859375,1183.780029296875,1183.780029296875
2010-10-29,3537880000,1185.4599609375,1183.8699951171875,1179.699951171875,1183.260009765625,1183.260009765625
2010-11-01,4129180000,1195.81005859375,1185.7099609375,1177.6500244140625,1184.3800048828125,1184.3800048828125
2010-11-02,3866200000,1195.8800048828125,1187.8599853515625,1187.8599853515625,1193.5699462890625,1193.5699462890625
2010-11-03,4665480000,1198.300048828125,1193.7900390625,1183.56005859375,1197.9599609375,1197.9599609375
2010-11-04,5695470000,1221.25,1198.3399658203125,1198.3399658203125,1221.06005859375,1221.06005859375
2010-11-05,5637460000,1227.0799560546875,1221.199951171875,1220.2900390625,1225.8499755859375,1225.8499755859375
2010-11-08,3937230000,1224.5699462890625,1223.239990234375,1217.550048828125,1223.25,1223.25
2010-11-09,4848040000,1226.8399658203125,1223.5899658203125,1208.93994140625,1213.4000244140625,1213.4000244140625
2010-11-10,4561300000,1218.75,1213.1400146484375,1204.3299560546875,1218.7099609375,1218.7099609375
2010-11-11,3931120000,1215.449951171875,1213.0400390625,1204.489990234375,1213.5400390625,1213.5400390625
2010-11-12,4213620000,1210.5,1209.0699462890625,1194.0799560546875,1199.2099609375,1199.2099609375
2010-11-15,3503370000,1207.4300537109375,1200.43994140625,1197.1500244140625,1197.75,1197.75
2010-11-16,5116380000,1194.7900390625,1194.7900390625,1173.0,1178.3399658203125,1178.3399658203125
2010-11-17,3904780000,1183.56005859375,1178.3299560546875,1175.8199462890625,1178.5899658203125,1178.5899658203125
2010-11-18,4687260000,1200.2900390625,1183.75,1183.75,1196.68994140625,1196.68994140625
2010-11-19,3675390000,1199.969970703125,1196.1199951171875,1189.43994140625,1199.72998046875,1199.72998046875
2010-11-22,3689500000,1198.93994140625,1198.0699462890625,1184.5799560546875,1197.8399658203125,1197.8399658203125
2010-11-23,4133070000,1192.510009765625,1192.510009765625,1176.9100341796875,1180.72998046875,1180.72998046875
2010-11-24,3384250000,1198.6199951171875,1183.699951171875,1183.699951171875,1198.3499755859375,1198.3499755859375
2010-11-26,1613820000,1194.1600341796875,1194.1600341796875,1186.9300537109375,1189.4000244140625,1189.4000244140625
2010-11-29,3673450000,1190.3399658203125,1189.0799560546875,1173.6400146484375,1187.760009765625,1187.760009765625
2010-11-30,4284700000,1187.4000244140625,1182.9599609375,1174.1400146484375,1180.550048828125,1180.550048828125
2010-12-01,4548110000,1207.6099853515625,1186.5999755859375,1186.5999755859375,1206.0699462890625,1206.0699462890625
2010-12-02,4970800000,1221.8900146484375,1206.81005859375,1206.81005859375,1221.530029296875,1221.530029296875
2010-12-03,3735780000,1225.5699462890625,1219.9300537109375,1216.8199462890625,1224.7099609375,1224.7099609375
2010-12-06,3527370000,1225.800048828125,1223.8699951171875,1220.6700439453125,1223.1199951171875,1223.1199951171875
2010-12-07,6970630000,1235.050048828125,1227.25,1223.25,1223.75,1223.75
2010-12-08,4607590000,1228.9300537109375,1225.02001953125,1219.5,1228.280029296875,1228.280029296875
2010-12-09,4522510000,1234.7099609375,1230.1400146484375,1226.8499755859375,1233.0,1233.0
2010-12-10,4547310000,1240.4000244140625,1233.8499755859375,1232.5799560546875,1240.4000244140625,1240.4000244140625
2010-12-13,4361240000,1246.72998046875,1242.52001953125,1240.3399658203125,1240.4599609375,1240.4599609375
2010-12-14,4132350000,1246.5899658203125,1241.8399658203125,1238.1700439453125,1241.5899658203125,1241.5899658203125
2010-12-15,4407340000,1244.25,1241.5799560546875,1234.010009765625,1235.22998046875,1235.22998046875
2010-12-16,4736820000,1243.75,1236.3399658203125,1232.8499755859375,1242.8699951171875,1242.8699951171875
2010-12-17,4632470000,1245.81005859375,1243.6300048828125,1239.8699951171875,1243.9100341796875,1243.9100341796875
2010-12-20,3548140000,1250.199951171875,1245.760009765625,1241.510009765625,1247.0799560546875,1247.0799560546875
2010-12-21,3479670000,1255.8199462890625,1249.4300537109375,1249.4300537109375,1254.5999755859375,1254.5999755859375
2010-12-22,1285590000,1259.3900146484375,1254.93994140625,1254.93994140625,1258.8399658203125,1258.8399658203125
2010-12-23,2515020000,1258.5899658203125,1257.530029296875,1254.050048828125,1256.77001953125,1256.77001953125
2010-12-27,1992470000,1258.4300537109375,1254.6600341796875,1251.47998046875,1257.5400390625,1257.5400390625
2010-12-28,2478450000,1259.9000244140625,1259.0999755859375,1256.219970703125,1258.510009765625,1258.510009765625
2010-12-29,2214380000,1262.5999755859375,1258.780029296875,1258.780029296875,1259.780029296875,1259.780029296875
2010-12-30,1970720000,1261.0899658203125,1259.43994140625,1256.3199462890625,1257.8800048828125,1257.8800048828125
2010-12-31,1799770000,1259.3399658203125,1256.760009765625,1254.18994140625,1257.6400146484375,1257.6400146484375
2011-01-03,4286670000,1276.1700439453125,1257.6199951171875,1257.6199951171875,1271.8699951171875,1271.8699951171875
2011-01-04,4796420000,1274.1199951171875,1272.949951171875,1262.6600341796875,1270.199951171875,1270.199951171875
2011-01-05,4764920000,1277.6300048828125,1268.780029296875,1265.3599853515625,1276.56005859375,1276.56005859375
2011-01-06,4844100000,1278.1700439453125,1276.2900390625,1270.4300537109375,1273.8499755859375,1273.8499755859375
2011-01-07,4963110000,1276.8299560546875,1274.4100341796875,1261.699951171875,1271.5,1271.5
2011-01-10,4036450000,1271.52001953125,1270.8399658203125,1262.1800537109375,1269.75,1269.75
2011-01-11,4050750000,1277.25,1272.5799560546875,1269.6199951171875,1274.47998046875,1274.47998046875
